ticker,ticker_name
1COV.DE,COVESTRO
ADS.DE,ADIDAS
AIR.DE,AIRBUS
ALV.DE,ALLIANZ
BAS.DE,BASF
BAYN.DE,BAYER
BEI.DE,BEIERSDORF
BMW.DE,BMW
BNR.DE,BRENNTAG
CBK.DE,COMMERZBANK
CON.DE,CONTINENTAL
DB1.DE,DEUTSCHE BORSE
DBK.DE,DEUTSCHE BANK
DHL.DE,DEUTSCHE POST
DTE.DE,DEUTSCHE TELEKOM
DTG.DE,DAIMLER TRUCK
ENR.DE,SIEMENS ENERGY
EOAN.DE,E.ON
FME.DE,FRESENIUS MEDICAL CARE
FRE.DE,FRESENIUS SE AND CO
HEI.DE,HEIDELBERG MATERIALS
HEN3.DE,HENKEL VZ
HNR1.DE,HANNOVER RUCK
IFX.DE,INFINEON
LHA.DE,DEUTSCHE LUFTHANSA
LIN.DE,LINDE PLC
MBG.DE,MERCEDES-BENZ GROUP
MRK.DE,MERCK
MTX.DE,MTU AERO ENGINES
MUV2.DE,MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT
P911.DE,PORSCHE
PAH3.DE,PORSCHE AUTOMOBIL HOLDING
QIA.DE,QIAGEN
RHM.DE,RHEINMETALL
RWE.DE,RWE
SAP.DE,SAP
SRT3.DE,SARTORIUS
SIE.DE,SIEMENS
SHL.DE,SIEMENS HEALTHINEERS
SY1.DE,SYMRISE
VNA.DE,VONOVIA
VOW3.DE,VOLKSWAGEN
ZAL.DE,ZALANDO
