ticker,ticker_name
4IG.BD,4IG NYRT
AKKO.BD,AKKO INVEST NYRT
ALTEO.BD,ALTEO ENERGY SERVICES PUBLIC LIMITED COMPANY
ANY.BD,ANY BIZTONSÁGI NYOMDA NYRT.
APPENINN.BD,APPENINN VAGYONKEZELO HOLDING SA
AUTOWALLIS.BD,AUTOWALLIS PLC
CIG.BD,CIG PANNONIA LIFE
GSPARK.BD,FIRST TRUST HORIZON MANAGED VOL
MTELEKOM.BD,MAGYAR TELEKOM
MASTERPLAST.BD,MASTERPLAST SHARE
MOL.BD,MOL MAGYAR OLAJ- ÉS GÁZIPARI SA
OPUS.BD,OPUS GLOBAL NYRT
OTP.BD,OTP BANK NYRT
PANNERGY.BD,PANNERGY PLC
RICHTER.BD,RICHTER GEDEON CHE
WABERERS.BD,WABERER'S INTERNATIONAL NYRT
