ticker,ticker_name
ABUK.CA,ABU QIR FERTILIZERS AND CHEMICAL INDUSTRIES CO SAE
ADIB.CA,ABU DHABI ISLAMIC BANK EGYPT SAE
AMOC.CA,ALEXANDRIA MINERAL OILS CO SAE
AUTO.CA,AUTO BANK
CCAP.CA,CITADEL CAPITAL
CIEB.CA,CREDIT AGRICOLE EGYPT SAE
CIRA.CA,CAIRO FOR INVESTMENT AND REAL ESTATE DEVELOPMENT SAE
CLHO.CA,CLHO.CA
COMI.CA,COMMERCIAL INTERNATIONAL BANK EGYPT
EAST.CA,EASTERN TOBACCO
EFID.CA,EFID.CA
EKHO.CA,EGYPTIAN KUWAITI HOLDING
EKHOA.CA,EKHOA.CA
ESRS.CA,EZZ STEEL
ETEL.CA,TELECOM EGYPT
FWRY.CA,FWRY.CA
HELI.CA,HELIOPOLIS HOUSING
HRHO.CA,EGYPTIAN FINANCIAL GROUP-HERMES HOLDING
ISPH.CA,ISPH.CA
JUFO.CA,JUHAYNA FOOD INDUSTRIES
MFPC.CA,MFPC.CA
MNHD.CA,MEDINET NASR HOUSING
ORAS.CA,ORAS.CA
ORWE.CA,ORWE.CA
PHDC.CA,PALM HILLS DEVELOPMENTS
RMDA.CA,RMDA.CA
SKPC.CA,SIDI KERIR PETROCHEMICALS
SWDY.CA,ELSWEDY ELECTRIC
TALM.CA,TALM.CA
TMGH.CA,TALAAT MOUSTAFA GROUP
