ticker,ticker_name
AC.PA,ACCOR S.A.
ACA.PA,CREDIT AGRICOLE S.A.
AI.PA,AIR LIQUIDE S.A.
AIR.PA,AIRBUS GROUP
ALO.PA,ALSTOM
BN.PA,DANONE S.A.
BNP.PA,BNP PARIBAS S.A.
CA.PA,CARREFOUR S.A.
CAP.PA,CAPGEMINI SE
CS.PA,AXA S.A.
DG.PA,VINCI S.A.
DSY.PA,DASSAULT SYSTEMES
EDEN.PA,EDENRED
EL.PA,ESSILORLUXOTTICA
EN.PA,BOUYGUES
ENGI.PA,ENGIE S.A.
ERF.PA,EUROFINS SCIENTIFIC
GLE.PA,SOCIETE GENERALE S.A.
HO.PA,THALES S.A.
KER.PA,KERING S.A.
LR.PA,LEGRAND S.A.
MC.PA,"LVMH MOET HENNESSY - LOUIS VUITTON, SOCIETE EUROPEENNE"
ML.PA,COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN SOCIETE EN COMMANDITE PAR ACTIONS
MT.AS,ARCELORMITTAL
OR.PA,LOREAL S.A.
ORA.PA,ORANGE S.A.
PUB.PA,PUBLICIS GROUPE S.A.
RI.PA,PERNOD RICARD S.A.
RMS.PA,HERMES INTERNATIONAL
RNO.PA,RENAULT
SAF.PA,SAFRAN
SAN.PA,SANOFI
SGO.PA,COMPAGNIE DE SAINT-GOBAIN S.A.
STLAP.PA,STELLANTIS NV
STMPA.PA,STMICROELECTRONICS
SU.PA,SCHNEIDER ELECTRIC SE
TEP.PA,TELEPERFORMANCE SE
TTE.PA,TOTALENERGIES SE
URW.PA,UNIBAIL-RODAMCO-WESTFIELD
VIE.PA,VEOLIA ENVIRONNEMENT S.A.
VIV.PA,VIVENDI SE
WLN.PA,WORLDLINE S.A.
