ticker,ticker_name
ADMIE.AT,ADMIE HOLDING S.A.
AEGN.AT,AEGEAN AIRLINES S.A.
ALMY.AT,ALUMIL ALUMINIUM INDUSTRY SA
ALPHA.AT,ALPHA SERVICES AND HOLDINGS SA
AVAX.AT,AVAX S.A.
BELA.AT,JUMBO S.A.
BRIQ.AT,BRIQ PROPERTIES REAL ESTATE INVESTMENT COMPANY
CENER.AT,CENERGY HOLDINGS SA
CENTR.AT,CENTRIC HOLDINGS S.A.
EEE.AT,COCA-COLA HBC AG
EKTER.AT,EKTER SA
ELHA.AT,ELVALHALCOR HELLENIC COPPER AND ALUMINIUM INDUSTRY S.A.
ELLAKTOR.AT,ELLAKTOR S.A.
ELPE.AT,HELLENIQ ENERGY HOLDINGS SA
ELSTR.AT,ELASTRON SA - STEEL SERVICE CENTERS
ELTON.AT,ELTON INTERNATIONAL TRADING COMPANY SA
ENTER.AT,ENTERSOFT S.A.
EPSIL.AT,EPSILON NET S.A.
ETE.AT,NATIONAL BANK OF GREECE SA
EUROB.AT,EUROBANK ERGASIAS SERVICES AND HOLDINGS SA
EXAE.AT,HELLENIC EXCHANGES - ATHENS STOCK EXCHANGE S.A.
EYAPS.AT,THESSALONIKI WATER SUPPLY & SEWERAGE CO S.A.
FOYRK.AT,FOURLIS HOLDINGS SA
GEKTERNA.AT,GEK TERNA S.A.
HTO.AT,HELLENIC TELECOMMUNICATIONS ORGANIZATION S.A.
IATR.AT,ATHENS MEDICAL C.S.A.
IKTIN.AT,IKTINOS HELLAS S.A.
INKAT.AT,INTRAKAT SOCIÉTÉ ANONYME TECHNICAL AND ENERGY PROJECTS
INLIF.AT,INTERLIFE GENERAL INSURANCE COMPANY S.A.
INTEK.AT,IDEAL HOLDINGS S.A.
INTRK.AT,INTRACOM HOLDINGS SA 
KEKR.AT,KEKROPS S.A.
KRI.AT,KRI-KRI MILK INDUSTRY S.A.
KYLO.AT,LOULIS FOOD INGREDIENTS S.A.
LAMDA.AT,LAMDA DEVELOPMENT S.A.
MIG.AT,MIG HOLDINGS S.A.
MOH.AT,MOTOR OIL (HELLAS) CORINTH REFINERIES SA
MOTO.AT,EMPORIKI EISAGOGIKI AFTOKINITON DITROHON KAI MIHANON THALASSIS SA
MYTIL.AT,METLEN ENERGY & METALS SA
OLTH.AT,THESSALONIKI PORT AUTHORITY SA
OLYMP.AT,TECHNICAL OLYMPIC S.A.
OPAP.AT,ORGANIZATION OF FOOTBALL PROGNOSTICS SA
OTOEL.AT,AUTOHELLAS S.A.
PAP.AT,PAPOUTSANIS S.A.
PETRO.AT,PETROS PETROPOULOS AEBE
PLAKR.AT,PLASTIKA KRITIS S.A.
PLAT.AT,THRACE PLASTICS HOLDING COMPANY S.A.
PPA.AT,PIRAEUS PORT AUTHORITY S.A.
PPC.AT,PUBLIC POWER CORPORATION S.A.
PREMIA.AT,PREMIA REAL ESTATE INVESTMENT COMPANY SA
PROF.AT,PROFILE SYSTEMS & SOFTWARE SA
QUEST.AT,QUEST HOLDINGS S.A.
REVOIL.AT,REVOIL S.A.
SAR.AT,GR. SARANTIS S.A.
SPACE.AT,SPACE HELLAS S.A.
TENERGY.AT,TERNA ENERGY INDUSTRIAL COMMERCIAL TECHNICAL SOCIETE ANONYME
TITC.AT,TITAN CEMENT INTERNATIONAL SA
TPEIR.AT,PIRAEUS FINANCIAL HOLDINGS SA
VIO.AT,VIOHALCO S.A.
