ticker,ticker_name
ACS.MC,"ACS, ACTIVIDADES DE CONSTRUCCIÓN Y SERVICIOS, S.A."
ACX.MC,"ACERINOX, S.A."
AENA.MC,"AENA S.M.E., S.A."
AMS.MC,"AMADEUS IT GROUP, S.A."
ANA.MC,"ACCIONA, S.A."
ANE.MC,"CORPORACIÓN ACCIONA ENERGÍAS RENOVABLES, S.A."
BBVA.MC,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
BKT.MC,"BANKINTER, S.A."
CABK.MC,"CAIXABANK, S.A."
CLNX.MC,"CELLNEX TELECOM, S.A."
COL.MC,"INMOBILIARIA COLONIAL, SOCIMI, S.A."
ELE.MC,"ENDESA, SOCIEDAD ANONIMA"
ENG.MC,"ENAGÁS, S.A."
FDR.MC,"FLUIDRA, S.A."
FER.MC,FERROVIAL SE
GRF.MC,"GRIFOLS, S.A."
IAG.MC,INTERNATIONAL CONSOLIDATED AIRLINES GROUP S.A.
IBE.MC,"IBERDROLA, S.A."
IDR.MC,INDRA SISTEMAS
ITX.MC,"INDUSTRIA DE DISEÑO TEXTIL, S.A."
LOG.MC,"LOGISTA INTEGRAL, S.A."
MAP.MC,"MAPFRE, S.A."
MEL.MC,MELIÁ HOTELS INTERNATIONAL
MRL.MC,"MERLIN PROPERTIES SOCIMI, S.A."
MTS.MC,ARCELORMITTAL S.A.
NTGY.MC,"NATURGY ENERGY GROUP, S.A."
PUIG.MC,PUIG BRANDS SA
RED.MC,"REDEIA CORPORACIÓN, S.A."
REP.MC,REPSOL
ROVI.MC,LABORATORIOS ROVI
SAB.MC,"BANCO DE SABADELL, S.A."
SAN.MC,"BANCO SANTANDER, S.A."
SCYR.MC,SACYR
SLR.MC,SOLARIA ENERGÍA Y MEDIO AMBIENTE
TEF.MC,"TELEFÓNICA, S.A."
UNI.MC,"UNICAJA BANCO, S.A."
