ticker,ticker_name
GRUPOSURA.CL,SURAMERICANA
PROMIGAS.CL,PROMIGAS
TERPEL.CL,ORGANIZACION TERPEL SA
NUTRESA.CL,NUTRESA
MINEROS.CL,MINEROS SA
ISA.CL,INTERCONEXION ELECTRICA SAESP
GEB.CL,GRUPO ENERGIA BOGOTA
PFGRUPSURA.CL,GRUPO DE INVERSIONES SURAMERICANA PRF
GRUBOLIVAR.CL,GRUPO BOLIVAR
GRUPOARGOS.CL,GRUPO ARGOS PREF
PFGRUPOARG.CL,GRUPO ARGOS
ETB.CL,ETB
ECOPETROL.CL,ECOPETROL
CORFICOLCF.CL,CORPORACION FINANCIERA COLOMBIANA
PFCEMARGOS.CL,CEMENTOS ARGOS PF
CEMARGOS.CL,CEMARGOS
CELSIA.CL,CELSIA
CNE.TO,CANACOL ENERGY
BVC.CL,BOLSA DE VALORES DE COLOMBIA
PFBCOLOM.CL,BANCOLOMBIA PF
CIB,BANCOLOMBIA
BOGOTA.CL,BANCO DE BOGOTA
PFDAVVNDA.CL,BANCO DAVIVIENDA PF
PFAVAL.CL,AVAL ACCIONES Y VALORES PREF
