ticker,ticker_name
AESGENER.SN,AESGENER
AGUAS-A.SN,AGUAS ANDINAS S.A.
ANDINA-B.SN,EMBOTELLADORA ANDINA S.A.
BCI.SN,BANCO DE CRÉDITO E INVERSIONES
BSANTANDER.SN,BANCO SANTANDER-CHILE
CAP.SN,CAP S.A.
CCU.SN,COMPAÑÍA CERVECERÍAS UNIDAS S.A.
CENCOSUD.SN,CENCOSUD S.A.
CHILE.SN,BANCO DE CHILE
CMPC.SN,EMPRESAS CMPC S.A.
COLBUN.SN,COLBÚN S.A.
CONCHATORO.SN,VIÑA CONCHA Y TORO S.A.
COPEC.SN,EMPRESAS COPEC S.A.
ECL.SN,ENGIE ENERGIA CHILE S.A.
ENELAM.SN,ENEL AMÉRICAS S.A.
ENELCHILE.SN,ENEL CHILE S.A.
ENTEL.SN,EMPRESA NACIONAL DE TELECOMUNICACIONES S.A.
FALABELLA.SN,FALABELLA S.A.
IAM.SN,INVERSIONES AGUAS METROPOLITANAS S.A.
ILC.SN,INVERSIONES LA CONSTRUCCIÓN S.A.
ITAUCORP.SN,ITAUCORP.SN
LTM.SN,LATAM AIRLINES GROUP S.A.
MALLPLAZA.SN,PLAZA S.A.
PARAUCO.SN,PARQUE ARAUCO S.A.
RIPLEY.SN,RIPLEY CORP S.A.
SECURITY.SN,GRUPO SECURITY S.A.
SONDA.SN,SONDA S.A.
SQM-B.SN,SOCIEDAD QUÍMICA Y MINERA DE CHILE S.A.
VAPORES.SN,COMPAÑÍA SUD AMERICANA DE VAPORES S.A.
