ticker,ticker_name
AALI.JK,PT Astra Agro Lestari Tbk
ABBA.JK,PT Mahaka Media Tbk
ABDA.JK,PT Asuransi Bina Dana Arta Tbk
ADES.JK,PT Akasha Wira International Tbk
ADHI.JK,PT Adhi Karya (Persero) Tbk
ADMF.JK,PT Adira Dinamika Multi Finance Tbk
ADMG.JK,PT. Polychem Indonesia Tbk
AGRO.JK,PT Bank Raya Indonesia Tbk
AHAP.JK,PT Asuransi Harta Aman Pratama Tbk
AIMS.JK,PT Akbar Indo Makmur Stimec Tbk
AISA.JK,AISA.JK
ARGO.JK,ARGO.JK
ASDM.JK,ASDM.JK
ASGR.JK,ASGR.JK
BABP.JK,BABP.JK
BKDP.JK,BKDP.JK
CITA.JK,CITA.JK
EXCL.JK,EXCL.JK
FMII.JK,FMII.JK
FPNI.JK,FPNI.JK
INDR.JK,INDR.JK
JSMR.JK,JSMR.JK
KDSI.JK,KDSI.JK
LMPI.JK,LMPI.JK
LPGI.JK,LPGI.JK
PNBN.JK,PNBN.JK
PRAS.JK,PRAS.JK
PSKT.JK,PSKT.JK
PUDP.JK,PUDP.JK
SHID.JK,SHID.JK
SPMA.JK,SPMA.JK
SQBI.JK,SQBI.JK
SQMI.JK,SQMI.JK
SULI.JK,SULI.JK
TFCO.JK,TFCO.JK
TRST.JK,TRST.JK
UNIC.JK,UNIC.JK
UNIC.JK,UNIC.JK
VOKS.JK,VOKS.JK
