ticker,ticker_name
AC.MX,"ARCA CONTINENTAL, S.A.B. DE C.V."
ALPEKA.MX,"ALPEK, S.A.B. DE C.V."
ALSEA.MX,"ALSEA, S.A.B. DE C.V."
AMXL.MX,"AMÉRICA MÓVIL, S.A.B. DE C.V."
ASURB.MX,"GRUPO AEROPORTUARIO DEL SURESTE, S.A.B. DE C.V."
BBAJIOO.MX,"BANCO DEL BAJÍO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE"
BIMBOA.MX,"GRUPO BIMBO, S.A.B. DE C.V."
BOLSAA.MX,"BOLSA MEXICANA DE VALORES, S.A.B. DE C.V."
CEMEXCPO.MX,"CEMEX, S.A.B. DE C.V."
CUERVO.MX,"BECLE, S.A.B. DE C.V."
FEMSAUBD.MX,"FOMENTO ECONÓMICO MEXICANO, S.A.B. DE C.V."
GAPB.MX,"GRUPO AEROPORTUARIO DEL PACÍFICO, S.A.B. DE C.V."
GCARSOA1.MX,"GRUPO CARSO, S.A.B. DE C.V."
GCC.MX,"GCC, S.A.B. DE C.V."
GENTERA.MX,"GENTERA, S.A.B. DE C.V."
GFNORTEO.MX,"GRUPO FINANCIERO BANORTE, S.A.B. DE C.V."
GMEXICOB.MX,"GRUPO MÉXICO, S.A.B. DE C.V."
GRUMAB.MX,"GRUMA, S.A.B. DE C.V."
IENOVA.MX,IENOVA
KIMBERA.MX,"KIMBERLY-CLARK DE MÉXICO, S.A.B. DE C.V."
KOFL.MX,"COCA-COLA FEMSA, S. A. B. DE C.V."
LABB.MX,"GENOMMA LAB INTERNACIONAL, S.A.B. DE C.V."
LIVEPOLC1.MX,"EL PUERTO DE LIVERPOOL, S.A.B. DE C.V."
MEGACPO.MX,"MEGACABLE HOLDINGS, S.A.B. DE C.V."
MEXCHEM.MX,MEXCHEM.MX
OMAB.MX,"GRUPO AEROPORTUARIO DEL CENTRO NORTE, S.A.B. DE C.V."
PEOLES.MX,"INDUSTRIAS PEÑOLES, S.A.B. DE C.V."
PINFRA.MX,"PROMOTORA Y OPERADORA DE INFRAESTRUCTURA, S.A.B. DE C.V."
SITESB1.MX,"TELESITES, S.A.B. DE C.V."
TLEVISACPO.MX,"GRUPO TELEVISA, S.A.B."
