ticker,ticker_name
ADANIENT.NS,ADANI ENTERPRISES LIMITED
APOLLOHOSP.NS,APOLLO HOSPITALS ENTERPRISE LIMITED
BAJAJ-AUTO.NS,BAJAJ AUTO LIMITED
BAJAJFINSV.NS,BAJAJ FINSERV LTD.
BAJFINANCE.NS,BAJAJ FINANCE LIMITED
BHARTIARTL.NS,BHARTI AIRTEL LIMITED
BRITANNIA.NS,BRITANNIA INDUSTRIES LIMITED
CIPLA.NS,CIPLA LIMITED
COALINDIA.NS,COAL INDIA LIMITED
HDFCLIFE.NS,HDFC LIFE INSURANCE COMPANY LIMITED
HEROMOTOCO.NS,HERO MOTOCORP LIMITED
HINDALCO.NS,HINDALCO INDUSTRIES LIMITED
INDUSINDBK.NS,INDUSIND BANK LIMITED
ITC.NS,ITC LIMITED
KOTAKBANK.NS,KOTAK MAHINDRA BANK LIMITED
LT.NS,LARSEN & TOUBRO LIMITED
LTIM.NS,LTIMINDTREE LIMITED
MARUTI.NS,MARUTI SUZUKI INDIA LIMITED
NESTLEIND.NS,NESTLÉ INDIA LIMITED
NTPC.NS,NTPC LIMITED
ONGC.NS,OIL AND NATURAL GAS CORPORATION LIMITED
RELIANCE.NS,RELIANCE INDUSTRIES LIMITED
SHRIRAMFIN.NS,SHRIRAM FINANCE LIMITED
TATACONSUM.NS,TATA CONSUMER PRODUCTS LIMITED
TATASTEEL.NS,TATA STEEL LIMITED
TCS.NS,TATA CONSULTANCY SERVICES LIMITED
TITAN.NS,TITAN COMPANY LIMITED
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED
WIPRO.NS,WIPRO LIMITED
